disc_year,disc_facility,pl_name,pl_rade,pl_bmasse,hostname,sy_pnum,sy_snum
2018,TESS,LHS-146f,3.47,13.2,LHS-146,6,2
2020,Hubble,HD-224c,0.92,38.12,HD-224,5,2
2021,Kepler,HD-438f,4.94,28.54,HD-438,4,1
2017,Hubble,TOI-549d,1.72,45.87,TOI-549,1,1
2011,Ground,TRAPPIST-680f,1.63,11.61,TRAPPIST-680,2,2
2022,TESS,HD-977f,3.64,24.84,HD-977,7,2
2024,TESS,HD-975c,1.96,29.04,HD-975,1,1
2016,TESS,Kepler-419c,1.0,1.61,Kepler-419,8,2
2024,Ground,TOI-227d,4.22,24.38,TOI-227,1,2
2010,James Webb,Kepler-912e,4.24,15.93,Kepler-912,4,1
2012,TESS,WASP-308c,0.68,18.85,WASP-308,6,1
2013,Kepler,Kepler-401b,2.12,48.61,Kepler-401,1,1
2024,Kepler,Kepler-54d,3.71,4.37,Kepler-54,2,2
2017,James Webb,WASP-429c,3.34,10.15,WASP-429,5,1
2012,Hubble,Kepler-410f,2.45,17.56,Kepler-410,8,1
2024,Hubble,Kepler-967d,3.72,36.38,Kepler-967,5,2
2016,Ground,WASP-111f,2.57,33.37,WASP-111,1,1
2019,James Webb,TRAPPIST-263d,1.9,42.13,TRAPPIST-263,1,1
2019,Spitzer,HD-794d,3.94,24.2,HD-794,8,2
2015,Ground,TOI-363b,1.91,32.43,TOI-363,4,2
2024,TESS,LHS-30e,3.21,7.34,LHS-30,8,1
2021,Ground,HD-292f,1.28,28.95,HD-292,3,2
2017,Kepler,HD-314e,1.54,29.34,HD-314,7,1
2010,Kepler,Kepler-829c,4.7,1.23,Kepler-829,8,1
2018,Spitzer,HD-91f,0.78,49.73,HD-91,4,1
2020,Spitzer,TRAPPIST-780c,1.03,15.45,TRAPPIST-780,4,2
2014,TESS,Kepler-179c,2.65,3.75,Kepler-179,2,2
2020,Hubble,Kepler-948f,2.81,12.16,Kepler-948,7,1
2015,James Webb,LHS-458c,2.02,47.73,LHS-458,8,2
2023,Hubble,HD-213c,1.65,36.66,HD-213,3,1
2014,Hubble,HD-929e,1.17,13.46,HD-929,3,1
2018,Kepler,TRAPPIST-616d,0.59,42.39,TRAPPIST-616,4,2
2015,Spitzer,Kepler-751c,2.94,1.84,Kepler-751,5,2
2010,Ground,HD-55d,2.39,9.76,HD-55,1,1
2022,TESS,TRAPPIST-198b,1.73,43.61,TRAPPIST-198,1,2
2015,Hubble,HD-137f,3.35,7.96,HD-137,6,1
2018,TESS,WASP-73b,3.53,15.64,WASP-73,4,2
2012,Spitzer,LHS-243d,0.83,19.63,LHS-243,6,1
2022,Spitzer,Kepler-35c,1.65,8.39,Kepler-35,5,2
2010,James Webb,HD-499d,1.56,0.85,HD-499,4,2
2020,Spitzer,HD-324e,3.68,20.55,HD-324,2,2
2018,Kepler,TOI-106e,0.73,48.76,TOI-106,2,2
2017,Kepler,HD-578f,3.0,3.09,HD-578,3,1
2017,TESS,WASP-632d,4.37,0.62,WASP-632,8,2
2013,James Webb,LHS-892e,1.06,35.47,LHS-892,1,1
2017,Ground,HD-949f,1.93,0.58,HD-949,7,1
2018,Spitzer,HD-625b,1.52,27.82,HD-625,3,1
2020,TESS,WASP-933c,1.5,6.51,WASP-933,6,1
2010,Spitzer,TRAPPIST-150d,1.09,12.97,TRAPPIST-150,4,1
2018,Spitzer,WASP-220c,2.11,29.36,WASP-220,3,1
2014,Kepler,WASP-445d,3.46,2.87,WASP-445,7,1
2011,Spitzer,Kepler-801e,4.98,10.26,Kepler-801,3,2
2017,TESS,TOI-308d,2.34,43.89,TOI-308,3,1
2010,Ground,HD-936d,4.13,45.06,HD-936,6,2
2022,Kepler,TOI-218d,2.41,10.69,TOI-218,2,2
2016,James Webb,TOI-359d,3.24,33.48,TOI-359,3,1
2018,Hubble,WASP-581e,0.8,24.32,WASP-581,3,1
2013,Spitzer,WASP-225b,0.73,12.97,WASP-225,1,2
2013,Kepler,TRAPPIST-120c,4.26,2.61,TRAPPIST-120,5,2
2013,Ground,HD-940d,1.8,49.29,HD-940,8,2
2024,TESS,TRAPPIST-926d,1.18,47.63,TRAPPIST-926,1,2
2019,TESS,TRAPPIST-52d,3.92,3.84,TRAPPIST-52,1,2
2021,Kepler,WASP-80f,4.84,39.8,WASP-80,7,1
2018,James Webb,Kepler-194c,0.76,25.11,Kepler-194,1,2
2013,Kepler,Kepler-268e,1.03,25.45,Kepler-268,2,1
2020,TESS,TRAPPIST-639b,2.68,49.7,TRAPPIST-639,4,2
2011,Hubble,TOI-14b,4.71,35.83,TOI-14,1,1
2018,Hubble,HD-258f,4.93,14.67,HD-258,8,2
2012,TESS,TRAPPIST-897b,2.32,32.11,TRAPPIST-897,8,1
2016,Ground,LHS-937c,1.86,40.3,LHS-937,8,2
2023,Spitzer,LHS-670f,0.64,26.55,LHS-670,8,2
2010,TESS,WASP-955f,3.09,43.29,WASP-955,7,1
2018,Ground,HD-767c,3.99,3.92,HD-767,6,1
2015,Spitzer,TOI-339d,3.58,43.99,TOI-339,4,1
2011,James Webb,HD-549d,1.42,48.78,HD-549,2,2
2023,James Webb,TRAPPIST-126d,4.26,44.47,TRAPPIST-126,7,1
2020,Ground,TRAPPIST-144c,4.59,30.21,TRAPPIST-144,3,1
2015,Ground,HD-630b,0.51,45.4,HD-630,3,2
2016,Kepler,TRAPPIST-679d,1.93,46.98,TRAPPIST-679,5,1
2023,Spitzer,LHS-944c,4.66,22.85,LHS-944,5,1
2014,TESS,LHS-776b,3.57,44.29,LHS-776,4,2
2023,Spitzer,TRAPPIST-454e,0.88,4.92,TRAPPIST-454,3,2
2010,Spitzer,LHS-353f,2.57,42.8,LHS-353,2,1
2015,TESS,LHS-972b,3.56,37.97,LHS-972,7,2
2022,Kepler,WASP-742e,0.96,1.69,WASP-742,6,1
2024,Spitzer,HD-999c,3.59,20.53,HD-999,6,1
2019,Spitzer,Kepler-771f,1.08,42.49,Kepler-771,7,1
2013,Spitzer,HD-182d,4.68,21.44,HD-182,2,1
2016,Ground,TRAPPIST-805c,3.86,31.21,TRAPPIST-805,1,2
2014,Kepler,TRAPPIST-220d,4.62,30.55,TRAPPIST-220,1,2
2010,Spitzer,HD-675c,4.4,37.4,HD-675,1,2
2013,James Webb,Kepler-228b,0.66,20.73,Kepler-228,1,2
2021,James Webb,LHS-74d,0.6,45.67,LHS-74,1,1
2024,TESS,TRAPPIST-245b,0.9,17.43,TRAPPIST-245,1,2
2015,TESS,TRAPPIST-203f,3.29,36.39,TRAPPIST-203,7,1
2019,TESS,TOI-670e,2.8,30.26,TOI-670,8,2
2018,Spitzer,HD-727d,2.3,3.89,HD-727,6,1
2024,James Webb,TRAPPIST-743b,2.06,17.16,TRAPPIST-743,2,1
2015,Hubble,TOI-845d,3.8,33.09,TOI-845,1,2
2022,TESS,TRAPPIST-587e,2.39,10.98,TRAPPIST-587,2,2
2013,James Webb,TRAPPIST-958d,2.03,6.39,TRAPPIST-958,7,1
2021,TESS,WASP-694d,4.04,18.55,WASP-694,1,2
2011,Hubble,TRAPPIST-981e,3.54,17.63,TRAPPIST-981,4,1
2021,TESS,HD-623e,3.59,47.35,HD-623,6,1
2016,Kepler,HD-240c,4.78,5.51,HD-240,1,2
2015,TESS,HD-767d,4.38,36.48,HD-767,7,1
2010,TESS,TRAPPIST-606b,2.18,34.99,TRAPPIST-606,4,2
2018,Hubble,Kepler-267f,0.82,37.97,Kepler-267,5,1
2018,James Webb,HD-120d,1.54,41.45,HD-120,2,2
2017,Spitzer,LHS-322b,4.35,9.45,LHS-322,4,2
2013,Kepler,HD-353e,1.6,5.99,HD-353,1,1
2020,Ground,TOI-74f,2.34,17.58,TOI-74,7,1
2018,Ground,LHS-253b,2.31,37.26,LHS-253,1,1
2015,Ground,WASP-814b,3.26,31.18,WASP-814,6,2
2024,TESS,WASP-541d,4.18,32.08,WASP-541,6,2
2015,Spitzer,TRAPPIST-213b,3.38,47.76,TRAPPIST-213,3,1
2012,Kepler,WASP-263c,4.32,11.8,WASP-263,4,1
2018,Hubble,WASP-53e,4.29,45.94,WASP-53,7,2
2019,Kepler,TOI-95f,0.6,26.46,TOI-95,8,2
2010,Kepler,TRAPPIST-232f,4.21,41.22,TRAPPIST-232,4,1
2024,Ground,TRAPPIST-308c,3.28,11.28,TRAPPIST-308,6,1
2024,Hubble,WASP-464b,2.94,4.21,WASP-464,1,2
2017,James Webb,WASP-507c,1.16,12.78,WASP-507,1,1
2018,Kepler,HD-156f,1.27,42.4,HD-156,7,2
2023,Kepler,HD-618c,2.08,1.76,HD-618,8,1
2018,TESS,HD-981d,4.97,44.77,HD-981,1,2
2011,James Webb,Kepler-479d,0.86,46.73,Kepler-479,1,1
2017,James Webb,Kepler-315c,1.52,44.74,Kepler-315,6,1
2022,TESS,HD-329c,3.23,38.49,HD-329,8,2
2021,Kepler,Kepler-261f,3.53,47.0,Kepler-261,6,1
2017,Kepler,HD-118c,3.55,19.15,HD-118,7,2
2014,Ground,Kepler-122e,1.57,16.96,Kepler-122,4,2
2019,Hubble,LHS-884c,4.08,1.28,LHS-884,3,1
2022,Kepler,LHS-320c,0.64,36.75,LHS-320,6,1
2015,Kepler,LHS-2e,3.03,5.39,LHS-2,6,1
2015,TESS,WASP-481e,2.61,28.42,WASP-481,3,2
2016,Spitzer,HD-538b,0.61,45.66,HD-538,2,1
2024,Spitzer,TRAPPIST-539f,3.91,5.8,TRAPPIST-539,2,2
2022,James Webb,Kepler-25d,0.67,1.51,Kepler-25,6,1
2024,Ground,LHS-505c,3.89,28.52,LHS-505,1,1
2013,Spitzer,HD-682c,3.19,15.29,HD-682,3,2
2017,Kepler,TOI-919f,2.12,24.0,TOI-919,2,1
2019,Hubble,TRAPPIST-111d,4.65,8.41,TRAPPIST-111,3,1
2016,Kepler,LHS-59f,4.49,6.25,LHS-59,6,2
2022,TESS,TRAPPIST-589e,2.91,35.91,TRAPPIST-589,8,1
2017,Hubble,LHS-151b,1.45,22.62,LHS-151,3,1
2017,Spitzer,TOI-571c,4.63,18.99,TOI-571,5,1
2015,Kepler,LHS-566b,2.97,34.8,LHS-566,4,2
2015,Spitzer,TOI-134d,4.16,21.98,TOI-134,6,1
2022,Spitzer,WASP-147f,3.03,27.12,WASP-147,8,2
2011,Kepler,Kepler-152b,1.66,18.49,Kepler-152,8,2
2024,Ground,TOI-270e,1.61,18.19,TOI-270,4,1
2017,Spitzer,WASP-427c,3.38,45.25,WASP-427,2,1
2019,Spitzer,LHS-29d,4.53,33.44,LHS-29,1,1
2024,Hubble,TRAPPIST-167b,1.37,36.17,TRAPPIST-167,4,1
2014,Hubble,HD-276c,4.47,44.85,HD-276,2,2
2011,James Webb,WASP-908f,2.62,9.11,WASP-908,3,1
2015,TESS,TOI-165f,3.88,41.2,TOI-165,7,2
2014,Spitzer,WASP-467b,4.26,44.55,WASP-467,3,2
2019,James Webb,LHS-669d,2.64,27.17,LHS-669,3,1
2013,Ground,Kepler-713b,0.9,12.45,Kepler-713,7,2
2023,Kepler,TOI-151b,4.01,10.49,TOI-151,1,2
2015,Ground,HD-2d,4.6,30.69,HD-2,3,2
2021,TESS,Kepler-257f,4.46,45.37,Kepler-257,1,2
2020,Hubble,LHS-769d,2.73,46.73,LHS-769,2,2
2011,Kepler,LHS-756b,3.27,10.07,LHS-756,6,2
2011,James Webb,WASP-798f,3.87,20.91,WASP-798,3,1
2011,Ground,TOI-508e,2.93,14.45,TOI-508,3,2
2022,Kepler,Kepler-280f,0.77,8.21,Kepler-280,3,1
2023,Kepler,WASP-120d,4.87,40.22,WASP-120,3,2
2012,Hubble,TOI-499e,2.83,39.05,TOI-499,4,1
2011,TESS,LHS-224f,3.14,11.54,LHS-224,6,1
2023,Hubble,WASP-721d,4.76,34.65,WASP-721,3,1
2013,TESS,HD-729e,2.61,23.61,HD-729,2,1
2013,Ground,Kepler-358d,2.94,29.55,Kepler-358,6,1
2012,Spitzer,LHS-33c,3.5,1.81,LHS-33,4,2
2011,TESS,TOI-894b,0.76,35.08,TOI-894,8,1
2018,Ground,Kepler-969b,2.97,16.66,Kepler-969,3,2
2017,TESS,LHS-370e,2.93,30.92,LHS-370,1,1
2022,TESS,HD-622c,0.51,16.49,HD-622,2,1
2022,James Webb,LHS-157e,1.98,3.96,LHS-157,4,2
2015,James Webb,TRAPPIST-657f,3.83,39.17,TRAPPIST-657,2,1
2023,TESS,LHS-545e,2.01,20.6,LHS-545,3,2
2023,Ground,LHS-672b,4.46,5.35,LHS-672,1,2
2018,Spitzer,TOI-242b,3.02,46.2,TOI-242,4,2
2013,Kepler,LHS-424c,1.84,2.08,LHS-424,3,1
2011,Ground,TOI-655f,0.96,39.18,TOI-655,7,2
2019,James Webb,TRAPPIST-675c,3.5,6.94,TRAPPIST-675,7,2
2012,Hubble,TOI-96c,3.74,37.18,TOI-96,4,1
2016,James Webb,TOI-991f,1.33,19.76,TOI-991,7,2
2010,Spitzer,HD-645b,4.23,42.37,HD-645,3,1
2024,Spitzer,HD-848e,4.22,24.38,HD-848,2,1
2011,James Webb,TRAPPIST-79b,3.72,12.18,TRAPPIST-79,1,2
2020,Hubble,HD-330b,3.0,46.72,HD-330,7,1
2021,Kepler,HD-527c,0.76,29.0,HD-527,5,1
2019,Kepler,LHS-544f,1.99,49.61,LHS-544,7,2
2012,James Webb,TOI-344d,1.83,7.32,TOI-344,3,1
2010,Hubble,Kepler-502b,4.37,34.94,Kepler-502,3,2
2014,Spitzer,LHS-406b,3.75,36.08,LHS-406,1,2
2014,Spitzer,Kepler-20b,4.81,38.66,Kepler-20,1,2
2024,Spitzer,TRAPPIST-347b,1.29,21.54,TRAPPIST-347,2,1
2023,Ground,LHS-934b,4.35,13.07,LHS-934,2,1
2022,James Webb,TOI-40f,4.58,13.19,TOI-40,3,2
2018,Ground,Kepler-207f,1.61,0.77,Kepler-207,3,1
2012,TESS,LHS-754c,3.65,20.42,LHS-754,7,1
2010,Ground,WASP-688e,0.62,29.35,WASP-688,3,1
2018,Hubble,TRAPPIST-890e,2.94,47.84,TRAPPIST-890,8,1
2014,Spitzer,LHS-599c,1.08,14.84,LHS-599,5,1
2017,Hubble,HD-145c,4.08,49.65,HD-145,7,1
2020,Spitzer,TRAPPIST-812d,1.64,30.52,TRAPPIST-812,1,2
2012,Ground,TRAPPIST-407c,1.1,32.23,TRAPPIST-407,1,2
2014,James Webb,TRAPPIST-241c,2.13,35.65,TRAPPIST-241,7,2
2013,Hubble,HD-943e,3.11,2.64,HD-943,7,1
2021,Kepler,LHS-922f,3.02,1.0,LHS-922,3,2
2024,Hubble,HD-929f,3.74,14.55,HD-929,2,1
2014,Spitzer,TRAPPIST-754b,2.7,25.28,TRAPPIST-754,4,1
2013,James Webb,WASP-868e,3.68,31.33,WASP-868,5,2
2013,Hubble,TRAPPIST-910f,4.11,10.73,TRAPPIST-910,4,1
2022,James Webb,TOI-203b,3.38,10.32,TOI-203,8,1
2014,TESS,TOI-786e,2.41,40.0,TOI-786,2,1
2012,Kepler,TRAPPIST-795c,3.35,4.27,TRAPPIST-795,5,2
2011,Ground,HD-617b,1.64,19.33,HD-617,6,1
2017,Spitzer,HD-5e,4.26,8.33,HD-5,8,1
2017,Ground,Kepler-370e,1.73,47.76,Kepler-370,7,1
2016,James Webb,Kepler-212d,2.76,49.16,Kepler-212,8,2
2014,TESS,LHS-803e,1.71,0.51,LHS-803,6,1
2021,Spitzer,HD-718b,1.84,19.34,HD-718,2,1
2012,Spitzer,TRAPPIST-840f,1.25,40.3,TRAPPIST-840,1,1
2020,Hubble,Kepler-988f,2.41,27.46,Kepler-988,5,1
2011,Hubble,HD-910c,3.49,20.86,HD-910,4,2
2024,Ground,LHS-215f,4.69,40.87,LHS-215,5,2
2021,Kepler,LHS-542f,0.74,12.79,LHS-542,5,1
2022,James Webb,TOI-461d,3.81,13.31,TOI-461,8,1
2021,Ground,TOI-539c,0.98,13.25,TOI-539,1,2
2016,Ground,Kepler-927e,2.73,11.02,Kepler-927,7,1
2010,Ground,WASP-381f,3.09,8.13,WASP-381,4,2
2022,Hubble,TOI-770e,4.81,26.23,TOI-770,5,2
2016,Ground,TOI-394c,2.27,41.53,TOI-394,2,2
2010,Spitzer,HD-261b,2.99,15.22,HD-261,7,2
2010,Ground,Kepler-36d,2.58,37.98,Kepler-36,3,1
2023,Kepler,WASP-519e,2.38,41.25,WASP-519,7,2
2016,Hubble,HD-959c,2.08,40.92,HD-959,8,2
2018,TESS,TOI-269e,0.69,31.92,TOI-269,4,1
2021,Kepler,LHS-825f,3.85,0.87,LHS-825,6,2
2017,Hubble,HD-321c,4.34,26.15,HD-321,5,1
2020,Ground,LHS-616c,3.12,49.18,LHS-616,7,2
2022,James Webb,WASP-980b,2.37,10.93,WASP-980,4,1
2012,Hubble,HD-481d,3.8,13.4,HD-481,7,2
2021,Ground,WASP-63d,0.84,22.35,WASP-63,7,1
2024,Hubble,LHS-924f,2.97,19.09,LHS-924,1,1
2016,Spitzer,HD-994c,0.98,6.35,HD-994,3,2
2020,Spitzer,WASP-322d,0.52,28.95,WASP-322,7,1
2021,Hubble,LHS-34c,3.22,8.54,LHS-34,8,2
2010,Ground,LHS-481d,2.13,10.05,LHS-481,8,1
2010,Spitzer,TOI-117d,1.48,29.5,TOI-117,4,1
2014,Ground,TRAPPIST-422b,0.9,21.94,TRAPPIST-422,2,1
2010,James Webb,LHS-902f,2.62,21.03,LHS-902,8,1
2018,James Webb,WASP-994c,4.86,22.06,WASP-994,2,1
2020,Hubble,WASP-885c,1.39,45.91,WASP-885,4,1
2014,Hubble,Kepler-265d,3.76,39.16,Kepler-265,4,2
2011,Hubble,Kepler-479d,3.53,22.89,Kepler-479,5,2
2021,Hubble,WASP-274b,3.84,22.29,WASP-274,7,2
2020,TESS,LHS-553d,2.57,47.06,LHS-553,1,2
2017,TESS,TRAPPIST-85c,2.78,49.29,TRAPPIST-85,1,2
2014,Hubble,LHS-261b,0.52,32.93,LHS-261,6,1
2011,TESS,WASP-748b,0.54,32.64,WASP-748,1,1
2018,James Webb,WASP-781e,1.48,35.47,WASP-781,8,1
2018,Ground,WASP-617f,2.74,5.9,WASP-617,7,2
2011,Ground,TOI-98b,2.58,49.89,TOI-98,2,2
2015,James Webb,TRAPPIST-707b,0.78,9.67,TRAPPIST-707,2,2
2016,James Webb,LHS-437d,2.8,46.13,LHS-437,2,1
2019,Kepler,Kepler-968c,3.75,3.16,Kepler-968,6,2
2019,Spitzer,TRAPPIST-841f,4.95,30.13,TRAPPIST-841,3,2
2013,Ground,TOI-753e,1.53,40.82,TOI-753,6,2
2017,Ground,TOI-17f,4.26,2.96,TOI-17,3,2
2011,Kepler,TOI-783c,4.58,13.68,TOI-783,1,1
2015,Hubble,HD-26e,3.91,25.6,HD-26,8,2
2023,James Webb,TRAPPIST-866d,3.03,16.94,TRAPPIST-866,8,1
2016,Ground,WASP-757e,3.4,20.85,WASP-757,1,1
2017,Spitzer,Kepler-121b,0.99,7.63,Kepler-121,6,2
2021,James Webb,Kepler-500f,2.46,11.01,Kepler-500,5,1
2014,Ground,HD-324d,4.95,2.28,HD-324,2,1
2023,Hubble,LHS-301d,1.35,30.05,LHS-301,2,1
2018,James Webb,HD-45f,0.84,32.97,HD-45,3,1
2016,Kepler,TRAPPIST-468f,2.96,22.33,TRAPPIST-468,4,2
2024,James Webb,TOI-467d,2.95,19.36,TOI-467,1,1
2010,TESS,WASP-384b,3.44,48.99,WASP-384,2,1
2015,James Webb,Kepler-58e,2.32,35.0,Kepler-58,6,1
2010,Ground,LHS-661b,2.0,42.56,LHS-661,3,1
2024,TESS,TOI-377f,4.27,27.79,TOI-377,2,2
2019,Kepler,TRAPPIST-287e,2.26,25.62,TRAPPIST-287,1,2
2024,Spitzer,TOI-524b,1.2,14.61,TOI-524,4,2
2022,Spitzer,LHS-262b,0.66,1.34,LHS-262,4,2
2017,Spitzer,LHS-109f,4.08,17.58,LHS-109,5,2
2018,Kepler,Kepler-430f,3.05,36.47,Kepler-430,4,1
2016,Ground,TOI-464e,2.4,40.5,TOI-464,3,2
2014,James Webb,TRAPPIST-718e,3.75,23.32,TRAPPIST-718,6,2
2013,TESS,Kepler-169c,1.39,6.8,Kepler-169,2,2
2024,TESS,HD-388e,4.04,24.07,HD-388,7,1
2024,Ground,HD-207d,4.24,10.24,HD-207,3,1
2023,Hubble,WASP-416d,1.67,1.56,WASP-416,2,2
2011,Spitzer,LHS-393d,3.32,18.93,LHS-393,2,1
2023,TESS,HD-296d,3.86,30.91,HD-296,5,1
2015,James Webb,HD-55d,1.74,45.0,HD-55,5,2
2023,Spitzer,Kepler-750c,3.56,20.73,Kepler-750,1,1
2015,Ground,WASP-794b,3.66,18.46,WASP-794,3,1
2014,Spitzer,TRAPPIST-841e,0.87,7.27,TRAPPIST-841,2,1
2010,Kepler,TRAPPIST-617d,1.8,4.28,TRAPPIST-617,1,2
2023,Kepler,TRAPPIST-529c,2.03,31.66,TRAPPIST-529,7,1
2021,James Webb,WASP-309e,2.55,14.9,WASP-309,1,2
2016,James Webb,HD-681c,3.19,47.28,HD-681,3,2
2017,Kepler,Kepler-305e,1.63,28.85,Kepler-305,4,1
2011,Hubble,TRAPPIST-769e,1.8,1.79,TRAPPIST-769,1,1
2024,Hubble,Kepler-50c,3.84,1.84,Kepler-50,3,1
2017,Spitzer,TRAPPIST-455f,3.2,37.09,TRAPPIST-455,1,2
2011,Ground,LHS-353b,1.84,0.71,LHS-353,6,1
2017,James Webb,WASP-118f,3.9,46.67,WASP-118,1,1
2011,James Webb,HD-647d,3.1,30.72,HD-647,1,2
2011,James Webb,WASP-47d,2.07,17.9,WASP-47,6,2
2014,Ground,WASP-34d,4.3,12.52,WASP-34,4,1
2024,Kepler,HD-355c,2.25,23.09,HD-355,7,2
2012,James Webb,HD-586f,1.5,24.32,HD-586,5,1
2014,Hubble,LHS-724e,3.6,37.7,LHS-724,7,2
2014,James Webb,LHS-104f,2.69,36.32,LHS-104,8,2
2013,Hubble,TRAPPIST-611e,2.82,35.94,TRAPPIST-611,1,2
2017,Spitzer,TOI-948d,2.41,49.34,TOI-948,8,2
2015,Spitzer,Kepler-781f,4.38,46.41,Kepler-781,2,1
2012,Ground,LHS-662d,4.03,5.64,LHS-662,7,2
2022,James Webb,Kepler-124d,3.44,2.56,Kepler-124,1,1
2015,TESS,HD-112c,4.13,27.27,HD-112,1,1
2022,Kepler,TRAPPIST-603b,1.54,41.31,TRAPPIST-603,2,2
2018,Kepler,HD-627d,1.5,21.6,HD-627,4,2
2021,TESS,HD-557e,2.42,38.75,HD-557,5,2
2010,Kepler,Kepler-453f,3.89,26.41,Kepler-453,1,2
2015,James Webb,Kepler-737f,0.6,6.04,Kepler-737,5,2
2012,Kepler,Kepler-703b,2.18,23.29,Kepler-703,4,2
2010,Ground,HD-903c,4.26,6.93,HD-903,4,2
2021,Ground,TOI-730e,2.95,4.36,TOI-730,1,1
2012,TESS,WASP-261c,4.18,33.92,WASP-261,5,2
2010,Spitzer,HD-419b,3.62,46.18,HD-419,3,1
2012,TESS,TOI-131e,3.64,15.28,TOI-131,7,1
2023,Hubble,HD-662e,1.99,15.71,HD-662,7,2
2012,Spitzer,TOI-226b,3.13,43.7,TOI-226,5,1
2011,Hubble,Kepler-171e,4.99,31.93,Kepler-171,8,2
2021,Kepler,HD-961e,3.63,15.98,HD-961,8,2
2020,Ground,HD-755e,0.8,36.5,HD-755,6,1
2013,Spitzer,TRAPPIST-238b,4.54,17.79,TRAPPIST-238,4,1
2021,Ground,Kepler-963c,1.35,9.18,Kepler-963,6,2
2018,Ground,LHS-800c,0.55,47.06,LHS-800,8,1
2012,Hubble,TRAPPIST-323d,2.0,7.58,TRAPPIST-323,4,1
2018,James Webb,HD-560e,4.96,41.2,HD-560,2,1
2015,Kepler,Kepler-23d,3.8,3.79,Kepler-23,1,2
2011,Spitzer,TRAPPIST-765e,0.76,46.35,TRAPPIST-765,6,2
2014,Spitzer,WASP-833f,2.28,30.51,WASP-833,5,1
2011,Hubble,Kepler-3d,4.32,44.08,Kepler-3,5,2
2020,Kepler,TRAPPIST-192e,4.07,37.93,TRAPPIST-192,7,1
2010,Spitzer,LHS-469f,2.15,34.62,LHS-469,8,1
2014,Hubble,TRAPPIST-309b,1.07,27.73,TRAPPIST-309,2,2
2010,Ground,LHS-477c,1.12,34.53,LHS-477,4,2
2013,Hubble,TRAPPIST-587b,4.28,27.98,TRAPPIST-587,4,1
2018,Ground,WASP-797c,2.4,42.3,WASP-797,8,1
2014,Hubble,LHS-825b,2.54,29.4,LHS-825,4,1
2010,Hubble,TOI-443b,2.13,28.4,TOI-443,5,2
2012,Hubble,HD-790e,3.37,36.2,HD-790,7,2
2023,Hubble,HD-891c,1.84,35.4,HD-891,2,2
2021,James Webb,WASP-551f,3.22,18.96,WASP-551,2,2
2011,TESS,WASP-683b,4.15,39.97,WASP-683,8,2
2015,TESS,TOI-546b,0.89,43.92,TOI-546,5,1
2012,Spitzer,LHS-863e,1.63,37.87,LHS-863,8,2
2021,TESS,TOI-881d,3.08,41.89,TOI-881,3,2
2017,TESS,TOI-577c,2.7,32.32,TOI-577,2,1
2022,Hubble,LHS-919f,2.61,43.17,LHS-919,1,1
2011,TESS,WASP-605b,1.32,38.19,WASP-605,3,2
2017,Ground,TRAPPIST-257c,1.04,42.92,TRAPPIST-257,1,1
2020,Kepler,HD-550c,4.07,29.72,HD-550,2,2
2013,James Webb,TRAPPIST-382f,1.17,47.58,TRAPPIST-382,3,1
2019,Ground,WASP-19b,4.68,38.42,WASP-19,2,2
2023,TESS,WASP-908e,2.02,48.57,WASP-908,4,1
2019,TESS,HD-82d,3.96,20.56,HD-82,6,2
2019,Ground,HD-475b,2.31,48.22,HD-475,2,1
2018,Ground,Kepler-66e,1.39,45.3,Kepler-66,6,1
2021,Hubble,WASP-929b,3.17,41.73,WASP-929,3,2
2016,TESS,TOI-601d,2.82,25.61,TOI-601,7,1
2014,Kepler,LHS-305c,2.25,32.58,LHS-305,5,2
2020,Spitzer,TRAPPIST-840d,4.89,34.58,TRAPPIST-840,6,2
2020,Ground,WASP-248e,2.99,35.82,WASP-248,3,2
2019,James Webb,TRAPPIST-70b,4.79,34.1,TRAPPIST-70,8,1
2011,James Webb,TOI-471c,1.78,24.8,TOI-471,2,2
2017,Kepler,TOI-506d,3.62,41.93,TOI-506,2,1
2023,James Webb,Kepler-419c,3.58,7.16,Kepler-419,1,2
2015,Spitzer,Kepler-626b,2.19,38.88,Kepler-626,3,1
2016,Ground,WASP-138b,2.94,33.23,WASP-138,1,1
2019,Hubble,TOI-83e,4.32,40.71,TOI-83,8,2
2022,Hubble,TOI-686f,4.8,32.06,TOI-686,1,2
2017,Ground,TRAPPIST-21c,1.41,39.5,TRAPPIST-21,5,2
2017,Ground,WASP-689f,1.56,25.56,WASP-689,6,2
2018,Ground,LHS-604f,4.03,9.28,LHS-604,3,1
2012,Ground,Kepler-99b,0.93,34.33,Kepler-99,6,1
2018,Kepler,WASP-969d,3.21,32.25,WASP-969,8,2
2022,Spitzer,LHS-454e,1.04,6.75,LHS-454,6,2
2019,Kepler,TOI-337c,2.91,35.4,TOI-337,5,2
2021,Ground,Kepler-633c,3.96,16.19,Kepler-633,7,1
2014,Hubble,TRAPPIST-149d,3.39,42.37,TRAPPIST-149,1,2
2023,TESS,HD-539b,1.5,42.7,HD-539,4,1
2015,Hubble,HD-395f,4.75,36.82,HD-395,1,2
2017,Spitzer,HD-786b,2.48,22.27,HD-786,2,1
2022,TESS,WASP-100e,2.48,2.59,WASP-100,6,1
2011,James Webb,TOI-97b,1.24,2.32,TOI-97,1,1
2019,James Webb,LHS-940e,1.12,14.1,LHS-940,8,1
